comparison,f1_a_grouped,f1_b_grouped,balacc_grouped,f1_a_random,f1_b_random,balacc_random
in-hold vs com-hold,0.3119069287970496,0.6851030396391333,0.5028281905196831,0.3109693542876882,0.7013365403395085,0.5097073813856909
in-hold vs change,0.8421042795279712,0.46594578840615475,0.6684637397669398,0.8647685509362238,0.4671107786720996,0.6604799727590565
com-hold vs change,0.9066220585455238,0.34191499345915677,0.6274566641304292,0.9194957005432199,0.31347410431990574,0.6025313447845901
