tau_min,tau_max,fir,latency_med,latency_p95,latency_mean,n_interrupted,n_holds,n_changes
0.1,0.2,0.9931603773584906,0.16098689734935762,0.1887384103238583,0.1604610478815441,4211,4240,1262
0.15000000000000002,0.2,0.9787735849056604,0.1804934486746788,0.19436920516192915,0.18023052394077205,4150,4240,1262
0.1,0.30000000000000004,0.8733490566037736,0.22197379469871525,0.2774768206477166,0.22092209576308822,3703,4240,1262
0.15000000000000002,0.30000000000000004,0.8554245283018868,0.24148034602403645,0.28310761548578744,0.24069157182231624,3627,4240,1262
0.20000000000000004,0.30000000000000004,0.8318396226415095,0.26098689734935765,0.28873841032385833,0.2604610478815441,3527,4240,1262
0.25000000000000006,0.30000000000000004,0.8134433962264151,0.28049344867467885,0.29436920516192916,0.2802305239407721,3449,4240,1262
0.1,0.4000000000000001,0.7620283018867925,0.28296069204807284,0.36621523097157477,0.2813831436446324,3231,4240,1262
0.15000000000000002,0.4000000000000001,0.7443396226415094,0.30246724337339403,0.3718460258096457,0.30115261970386026,3156,4240,1262
0.20000000000000004,0.4000000000000001,0.7278301886792453,0.3219737946987153,0.3774768206477166,0.3209220957630883,3086,4240,1262
0.25000000000000006,0.4000000000000001,0.7120283018867924,0.34148034602403643,0.3831076154857875,0.3406915718223163,3019,4240,1262
0.1,0.5000000000000001,0.6655660377358491,0.34394758939743053,0.4549536412954332,0.3418441915261765,2822,4240,1262
0.15000000000000002,0.5000000000000001,0.6518867924528302,0.36345414072275173,0.460584436133504,0.3616136675854044,2764,4240,1262
0.20000000000000004,0.5000000000000001,0.6408018867924529,0.38296069204807287,0.46621523097157486,0.3813831436446324,2717,4240,1262
0.25000000000000006,0.5000000000000001,0.6287735849056604,0.4024672433733941,0.47184602580964574,0.40115261970386035,2666,4240,1262
0.1,0.6000000000000001,0.5849056603773585,0.4049344867467881,0.5436920516192913,0.40230523940772056,2480,4240,1262
0.15000000000000002,0.6000000000000001,0.5731132075471698,0.4244410380721093,0.5493228464573622,0.4220747154669485,2430,4240,1262
0.20000000000000004,0.6000000000000001,0.5608490566037736,0.4439475893974305,0.5549536412954331,0.44184419152617643,2378,4240,1262
0.25000000000000006,0.6000000000000001,0.5492924528301887,0.4634541407227517,0.560584436133504,0.46161366758540445,2329,4240,1262
0.1,0.7000000000000002,0.5136792452830189,0.46592138409614575,0.6324304619431497,0.4627662872892648,2178,4240,1262
0.15000000000000002,0.7000000000000002,0.503066037735849,0.48542793542146695,0.6380612567812206,0.4825357633484927,2133,4240,1262
0.20000000000000004,0.7000000000000002,0.49528301886792453,0.5049344867467881,0.6436920516192914,0.5023052394077208,2100,4240,1262
