,0
art_rate,0.17890257297433423
i_std,0.08299488155868986
i_max,0.07724934362986811
i_slope,0.06869576326233978
i_med,0.06831854901156198
i_tmax,0.053709071496697014
contour_curv_600,0.038362975620712836
voiced_frac,0.03547740908446915
f0_slope,0.034668932384456445
contour_r2_600,0.03390442116458992
contour_slope_600,0.03377563501226373
f0_range,0.033282419853932946
f0_reset,0.032847749963164995
f0_terminal,0.03225465215829773
f0_med,0.032135472690825444
f0_max,0.03176462298745517
f0_min,0.03169016495507034
contour_r2_300,0.02822014468436035
contour_slope_300,0.026145351288966213
contour_curv_300,0.021086434586789313
art_rate_missing,0.0037143871177616936
contour_curv_300_missing,0.0033002695822928704
contour_r2_300_missing,0.003019075101150221
contour_slope_300_missing,0.0027947597218799885
contour_curv_600_missing,0.0017345882295394838
contour_r2_600_missing,0.001692262672648305
contour_slope_600_missing,0.0016720516799485934
f0_slope_missing,0.0010661074761069002
f0_range_missing,0.0010318732553370009
f0_terminal_missing,0.000985683944148568
f0_reset_missing,0.000958065852767116
f0_med_missing,0.0009153490235129871
f0_max_missing,0.000840329339841812
f0_min_missing,0.0007886286342189211
i_med_missing,0.0
i_max_missing,0.0
i_tmax_missing,0.0
i_slope_missing,0.0
i_std_missing,0.0
