tau_min,tau_max,fir,latency_med,latency_p95,latency_mean,n_interrupted,n_holds,n_changes
0.1,0.2,0.995754716981132,0.16149854212999346,0.18867163721472027,0.16235281268653678,4222,4240,1262
0.15000000000000002,0.2,0.9865566037735849,0.18074927106499672,0.19433581860736013,0.1811764063432684,4183,4240,1262
0.1,0.30000000000000004,0.875,0.2229970842599869,0.2773432744294405,0.22470562537307354,3710,4240,1262
0.15000000000000002,0.30000000000000004,0.8566037735849057,0.2422478131949902,0.2830074558220804,0.2435292190298052,3632,4240,1262
0.20000000000000004,0.30000000000000004,0.8360849056603774,0.26149854212999346,0.2886716372147203,0.26235281268653676,3545,4240,1262
0.25000000000000006,0.30000000000000004,0.815566037735849,0.28074927106499675,0.29433581860736013,0.28117640634326846,3458,4240,1262
0.1,0.4000000000000001,0.7613207547169811,0.2844956263899803,0.36601491164416083,0.28705843805961034,3228,4240,1262
0.15000000000000002,0.4000000000000001,0.7483490566037736,0.3037463553249836,0.3716790930368007,0.3058820317163419,3173,4240,1262
0.20000000000000004,0.4000000000000001,0.7318396226415095,0.32299708425998697,0.3773432744294406,0.32470562537307357,3103,4240,1262
0.25000000000000006,0.4000000000000001,0.7186320754716982,0.3422478131949902,0.3830074558220804,0.3435292190298052,3047,4240,1262
0.1,0.5000000000000001,0.6658018867924528,0.3459941685199739,0.45468654885888116,0.3494112507461471,2823,4240,1262
0.15000000000000002,0.5000000000000001,0.6504716981132076,0.3652448974549771,0.46035073025152096,0.36823484440287874,2758,4240,1262
0.20000000000000004,0.5000000000000001,0.6389150943396227,0.38449562638998036,0.4660149116441608,0.3870584380596104,2709,4240,1262
0.25000000000000006,0.5000000000000001,0.6240566037735849,0.4037463553249837,0.4716790930368007,0.40588203171634196,2646,4240,1262
0.1,0.6000000000000001,0.5811320754716981,0.4074927106499673,0.5433581860736013,0.41176406343268385,2464,4240,1262
0.15000000000000002,0.6000000000000001,0.5712264150943396,0.4267434395849705,0.5490223674662412,0.43058765708941543,2422,4240,1262
0.20000000000000004,0.6000000000000001,0.5610849056603774,0.4459941685199738,0.5546865488588811,0.4494112507461471,2379,4240,1262
0.25000000000000006,0.6000000000000001,0.5485849056603773,0.4652448974549771,0.5603507302515209,0.4682348444028787,2326,4240,1262
0.1,0.7000000000000002,0.5122641509433963,0.4689912527799608,0.6320298232883217,0.4741168761192206,2172,4240,1262
0.15000000000000002,0.7000000000000002,0.503066037735849,0.488241981714964,0.6376940046809616,0.49294046977595224,2133,4240,1262
0.20000000000000004,0.7000000000000002,0.49339622641509434,0.5074927106499673,0.6433581860736014,0.511764063432684,2092,4240,1262
0.25000000000000006,0.7000000000000002,0.4849056603773585,0.5267434395849706,0.6490223674662413,0.5305876570894155,2056,4240,1262
0.1,0.8000000000000003,0.45589622641509436,0.5304897949099543,0.720701460503042,0.5364696888057574,1933,4240,1262
0.15000000000000002,0.8000000000000003,0.44528301886792454,0.5497405238449575,0.726365641895682,0.5552932824624891,1888,4240,1262
0.20000000000000004,0.8000000000000003,0.4372641509433962,0.5689912527799608,0.7320298232883218,0.5741168761192208,1854,4240,1262
0.25000000000000006,0.8000000000000003,0.4320754716981132,0.5882419817149642,0.7376940046809617,0.5929404697759525,1832,4240,1262
0.1,0.9000000000000002,0.4037735849056604,0.5919883370399477,0.8093730977177622,0.5988225014922942,1712,4240,1262
0.15000000000000002,0.9000000000000002,0.39693396226415095,0.6112390659749509,0.8150372791104021,0.6176460951490259,1683,4240,1262
0.20000000000000004,0.9000000000000002,0.389622641509434,0.6304897949099542,0.8207014605030419,0.6364696888057575,1652,4240,1262
0.25000000000000006,0.9000000000000002,0.38443396226415094,0.6497405238449575,0.8263656418956818,0.6552932824624891,1630,4240,1262
