tau_min,tau_max,fir,latency_med,latency_p95,latency_mean,n_interrupted,n_holds,n_changes
0.1,0.1,1.0,0.1,0.1,0.09999999999999999,4240,4240,1262
0.20000000000000004,0.20000000000000004,0.9495283018867925,0.20000000000000004,0.20000000000000004,0.19999999999999998,4026,4240,1262
0.25000000000000006,0.25000000000000006,0.8910377358490567,0.25000000000000006,0.25000000000000006,0.25000000000000006,3778,4240,1262
0.30000000000000004,0.30000000000000004,0.7955188679245283,0.30000000000000004,0.30000000000000004,0.30000000000000004,3373,4240,1262
0.3500000000000001,0.3500000000000001,0.7544811320754717,0.3500000000000001,0.3500000000000001,0.35000000000000014,3199,4240,1262
0.40000000000000013,0.40000000000000013,0.6740566037735849,0.40000000000000013,0.40000000000000013,0.40000000000000024,2858,4240,1262
0.4500000000000001,0.4500000000000001,0.6084905660377359,0.4500000000000001,0.4500000000000001,0.45000000000000007,2580,4240,1262
0.5000000000000001,0.5000000000000001,0.5759433962264151,0.5000000000000001,0.5000000000000001,0.5000000000000001,2442,4240,1262
0.5500000000000002,0.5500000000000002,0.5139150943396227,0.5500000000000002,0.5500000000000002,0.5500000000000002,2179,4240,1262
0.6000000000000002,0.6000000000000002,0.48891509433962266,0.6000000000000002,0.6000000000000002,0.6000000000000003,2073,4240,1262
0.6500000000000001,0.6500000000000001,0.44787735849056604,0.6500000000000001,0.6500000000000001,0.6500000000000002,1899,4240,1262
0.7000000000000002,0.7000000000000002,0.42617924528301887,0.7000000000000002,0.7000000000000002,0.7000000000000003,1807,4240,1262
0.7500000000000002,0.7500000000000002,0.38443396226415094,0.7500000000000002,0.7500000000000002,0.7500000000000002,1630,4240,1262
0.8000000000000003,0.8000000000000003,0.35117924528301886,0.8000000000000003,0.8000000000000003,0.8000000000000005,1489,4240,1262
0.8500000000000003,0.8500000000000003,0.33490566037735847,0.8500000000000003,0.8500000000000003,0.8500000000000002,1420,4240,1262
0.9000000000000002,0.9000000000000002,0.3080188679245283,0.9000000000000002,0.9000000000000002,0.9000000000000001,1306,4240,1262
0.9500000000000003,0.9500000000000003,0.2955188679245283,0.9500000000000003,0.9500000000000003,0.9500000000000004,1253,4240,1262
1.0000000000000002,1.0000000000000002,0.2672169811320755,1.0000000000000002,1.0000000000000002,1.0000000000000002,1133,4240,1262
1.0500000000000003,1.0500000000000003,0.25566037735849056,1.0500000000000003,1.0500000000000003,1.0500000000000005,1084,4240,1262
1.1000000000000003,1.1000000000000003,0.2346698113207547,1.1000000000000003,1.1000000000000003,1.1000000000000003,995,4240,1262
1.1500000000000004,1.1500000000000004,0.22712264150943395,1.1500000000000004,1.1500000000000004,1.1500000000000006,963,4240,1262
1.2000000000000004,1.2000000000000004,0.21037735849056605,1.2000000000000004,1.2000000000000004,1.2000000000000006,892,4240,1262
1.2500000000000004,1.2500000000000004,0.19433962264150945,1.2500000000000004,1.2500000000000004,1.2500000000000002,824,4240,1262
1.3000000000000005,1.3000000000000005,0.18679245283018867,1.3000000000000005,1.3000000000000005,1.3000000000000005,792,4240,1262
1.3500000000000005,1.3500000000000005,0.17382075471698114,1.3500000000000005,1.3500000000000005,1.3500000000000005,737,4240,1262
1.4000000000000004,1.4000000000000004,0.16910377358490566,1.4000000000000004,1.4000000000000004,1.4000000000000006,717,4240,1262
1.4500000000000004,1.4500000000000004,0.1589622641509434,1.4500000000000004,1.4500000000000004,1.4500000000000008,674,4240,1262
1.5000000000000004,1.5000000000000004,0.1554245283018868,1.5000000000000004,1.5000000000000004,1.5000000000000004,659,4240,1262
1.5500000000000005,1.5500000000000005,0.15023584905660378,1.5500000000000005,1.5500000000000005,1.5500000000000005,637,4240,1262
1.6000000000000005,1.6000000000000005,0.1429245283018868,1.6000000000000005,1.6000000000000005,1.600000000000001,606,4240,1262
1.6500000000000006,1.6500000000000006,0.1403301886792453,1.6500000000000006,1.6500000000000006,1.6500000000000008,595,4240,1262
1.7000000000000006,1.7000000000000006,0.1330188679245283,1.7000000000000006,1.7000000000000006,1.7000000000000004,564,4240,1262
1.7500000000000004,1.7500000000000004,0.12830188679245283,1.7500000000000004,1.7500000000000004,1.7500000000000004,544,4240,1262
1.8000000000000005,1.8000000000000005,0.12075471698113208,1.8000000000000005,1.8000000000000005,1.8000000000000003,512,4240,1262
1.8500000000000005,1.8500000000000005,0.11533018867924529,1.8500000000000005,1.8500000000000005,1.850000000000001,489,4240,1262
1.9000000000000006,1.9000000000000006,0.10872641509433963,1.9000000000000006,1.9000000000000006,1.9000000000000008,461,4240,1262
1.9500000000000006,1.9500000000000006,0.10283018867924529,1.9500000000000006,1.9500000000000006,1.9500000000000004,436,4240,1262
2.0000000000000004,2.0000000000000004,0.09693396226415095,2.0000000000000004,2.0000000000000004,2.0000000000000004,411,4240,1262
2.0500000000000007,2.0500000000000007,0.09433962264150944,2.0500000000000007,2.0500000000000007,2.050000000000001,400,4240,1262
2.1000000000000005,2.1000000000000005,0.09056603773584905,2.1000000000000005,2.1000000000000005,2.100000000000001,384,4240,1262
2.150000000000001,2.150000000000001,0.08797169811320754,2.150000000000001,2.150000000000001,2.1500000000000012,373,4240,1262
2.2000000000000006,2.2000000000000006,0.08490566037735849,2.2000000000000006,2.2000000000000006,2.2000000000000006,360,4240,1262
2.250000000000001,2.250000000000001,0.08066037735849056,2.250000000000001,2.250000000000001,2.2500000000000004,342,4240,1262
2.3000000000000007,2.3000000000000007,0.07830188679245283,2.3000000000000007,2.3000000000000007,2.300000000000001,332,4240,1262
2.3500000000000005,2.3500000000000005,0.07216981132075471,2.3500000000000005,2.3500000000000005,2.350000000000001,306,4240,1262
2.400000000000001,2.400000000000001,0.06886792452830189,2.400000000000001,2.400000000000001,2.4000000000000012,292,4240,1262
2.4500000000000006,2.4500000000000006,0.06745283018867924,2.4500000000000006,2.4500000000000006,2.4500000000000006,286,4240,1262
2.500000000000001,2.500000000000001,0.06367924528301887,2.500000000000001,2.500000000000001,2.5000000000000004,270,4240,1262
2.5500000000000007,2.5500000000000007,0.0625,2.5500000000000007,2.5500000000000007,2.550000000000001,265,4240,1262
2.600000000000001,2.600000000000001,0.0589622641509434,2.600000000000001,2.600000000000001,2.600000000000001,250,4240,1262
2.650000000000001,2.650000000000001,0.057547169811320756,2.650000000000001,2.650000000000001,2.6500000000000012,244,4240,1262
2.700000000000001,2.700000000000001,0.0544811320754717,2.700000000000001,2.700000000000001,2.700000000000001,231,4240,1262
2.750000000000001,2.750000000000001,0.05259433962264151,2.750000000000001,2.750000000000001,2.7500000000000004,223,4240,1262
2.8000000000000007,2.8000000000000007,0.048820754716981135,2.8000000000000007,2.8000000000000007,2.800000000000001,207,4240,1262
2.850000000000001,2.850000000000001,0.04622641509433962,2.850000000000001,2.850000000000001,2.850000000000001,196,4240,1262
2.900000000000001,2.900000000000001,0.04504716981132075,2.900000000000001,2.900000000000001,2.9000000000000017,191,4240,1262
2.950000000000001,2.950000000000001,0.042688679245283016,2.950000000000001,2.950000000000001,2.950000000000001,181,4240,1262
3.000000000000001,3.000000000000001,0.04174528301886792,3.000000000000001,3.000000000000001,3.000000000000001,177,4240,1262
