,0
i_med,0.07249630188597862
art_rate,0.06969260439923476
i_slope,0.068983244446601
i_std,0.06790321922780126
i_max,0.06684685404696658
i_tmax,0.06539990346225556
f0_reset,0.04412743959706945
contour_curv_600,0.04409305584428933
contour_r2_600,0.043670859939145545
f0_range,0.04366603116163708
f0_slope,0.04332674098043539
f0_med,0.04262477013213046
contour_slope_600,0.042421500038331166
f0_min,0.04161045102725692
f0_max,0.04148290830289317
f0_terminal,0.040810443053844674
voiced_frac,0.03874145243411151
contour_r2_300,0.035941338958830754
contour_curv_300,0.03480745011199808
contour_slope_300,0.034174892069115906
contour_curv_300_missing,0.003537259269546092
contour_r2_300_missing,0.002903471085741543
contour_slope_300_missing,0.002834451852261848
contour_curv_600_missing,0.0017033942335122252
art_rate_missing,0.0008792201844623322
contour_r2_600_missing,0.0008477076513910657
contour_slope_600_missing,0.0008094975105526675
f0_terminal_missing,0.0005241100637400503
f0_slope_missing,0.0005018141619858257
f0_range_missing,0.0004952538720073346
f0_reset_missing,0.0004884809260889533
f0_min_missing,0.00048444620110190025
f0_max_missing,0.0004688844514482011
f0_med_missing,0.0004625721551781628
i_slope_missing,0.00011168531299647264
i_med_missing,3.652379534223226e-05
i_tmax_missing,3.1364512443761205e-05
i_max_missing,2.9245916035970915e-05
i_std_missing,2.915572423615039e-05
