,0
art_rate,0.17910572441123876
i_std,0.08313078836377485
i_max,0.08112929385429148
i_slope,0.06615812701919772
i_med,0.06436776812833087
i_tmax,0.05227069846206216
contour_curv_600,0.037674906461983654
contour_r2_600,0.03630039424421392
f0_slope,0.035933651560865795
voiced_frac,0.034976092429129066
contour_slope_600,0.03354511707398281
f0_range,0.032779692943153214
f0_min,0.03275661266764841
f0_max,0.032741955437687896
f0_reset,0.03244945684686279
f0_med,0.03178001983281307
f0_terminal,0.030591851811453956
contour_r2_300,0.029295562378717825
contour_slope_300,0.02607335101089604
contour_curv_300,0.021205103368948895
art_rate_missing,0.004018988660567146
contour_curv_300_missing,0.003301280646647184
contour_r2_300_missing,0.0029474963339731755
contour_slope_300_missing,0.0026112362209983683
contour_slope_600_missing,0.0017585829099396385
contour_r2_600_missing,0.00174421117015069
contour_curv_600_missing,0.0017412187230077523
f0_slope_missing,0.0012320482595350923
f0_terminal_missing,0.0011687620528081782
f0_range_missing,0.00107366359472624
f0_med_missing,0.0010367700106226306
f0_max_missing,0.0010153608552192664
f0_reset_missing,0.0009595579716338567
f0_min_missing,0.0008439636409961435
i_slope_missing,0.00017128049436775688
i_max_missing,3.331930673584192e-05
i_tmax_missing,2.65879533147162e-05
i_med_missing,2.4847719737009562e-05
i_std_missing,2.465516776620591e-05
